Sample in Buffer,Sample in Window,TRIGGER,clk_vector,trigger_adc_buf_in[7:0],trig_vector,diff[8:0],prev_frame_adc[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX,SIGNED,UNSIGNED
506,506,0,0,148,0,0,148
507,507,0,0,148,0,0,148
508,508,0,0,148,0,0,148
509,509,0,1,148,0,0,148
510,510,0,1,148,0,0,148
511,511,0,0,148,0,0,148
512,512,0,0,148,0,0,148
513,513,0,0,148,0,0,148
514,514,0,1,148,0,0,148
515,515,0,1,148,0,0,148
516,516,0,0,148,0,0,148
517,517,0,0,148,0,0,148
518,518,0,0,148,0,0,148
519,519,0,1,148,0,0,148
520,520,0,1,148,0,0,148
521,521,0,0,148,0,0,148
522,522,0,0,148,0,0,147
523,523,0,0,148,0,0,147
524,524,0,1,148,0,0,147
525,525,0,1,148,0,0,147
526,526,0,0,148,0,4,147
527,527,0,0,148,0,-1,148
528,528,0,0,148,0,-1,148
529,529,0,1,148,0,-1,148
530,530,0,1,148,0,-1,148
531,531,0,0,148,0,-13,148
532,532,0,0,148,0,0,148
533,533,0,0,148,0,0,148
534,534,0,1,148,0,0,148
535,535,0,1,148,0,0,148
536,536,0,0,148,0,0,148
537,537,0,0,148,0,0,148
538,538,0,0,148,0,0,148
539,539,0,1,148,0,0,148
540,540,0,1,148,0,0,148
541,541,0,0,148,0,0,148
542,542,0,0,147,0,0,148
543,543,0,0,147,0,0,148
544,544,0,1,147,0,0,148
545,545,0,1,147,0,0,148
546,546,0,0,147,0,0,148
547,547,0,0,148,0,1,148
548,548,0,0,148,0,1,148
549,549,0,1,148,0,1,148
550,550,0,1,148,0,1,148
551,551,0,0,148,0,1,148
552,552,0,0,148,0,0,148
553,553,0,0,148,0,0,148
554,554,0,1,148,0,0,148
555,555,0,1,148,0,0,148
556,556,0,0,148,0,0,148
557,557,0,0,148,0,0,148
558,558,0,0,148,0,0,148
559,559,0,1,148,0,0,148
560,560,0,1,148,0,0,148
561,561,0,0,148,0,0,148
562,562,0,0,148,0,0,148
563,563,0,0,148,0,0,148
564,564,0,1,148,0,0,148
565,565,0,1,148,0,0,148
566,566,0,0,148,0,0,148
567,567,0,0,148,0,0,148
568,568,0,0,148,0,0,148
569,569,0,1,148,0,0,148
570,570,0,1,148,0,0,148
571,571,0,0,148,0,0,148
572,572,0,0,148,0,0,148
573,573,0,0,148,0,0,148
574,574,0,1,148,0,0,148
575,575,0,1,148,0,0,148
576,576,0,0,148,0,0,148
577,577,0,0,148,0,0,148
578,578,0,0,148,0,0,148
579,579,0,1,148,0,0,148
580,580,0,1,148,0,0,148
581,581,0,0,148,0,0,148
582,582,0,0,148,0,0,148
583,583,0,0,148,0,0,148
584,584,0,1,148,0,0,148
585,585,0,1,148,0,0,148
586,586,0,0,148,0,0,148
587,587,0,0,148,0,0,148
588,588,0,0,148,0,0,148
589,589,0,1,148,0,0,148
590,590,0,1,148,0,0,148
591,591,0,0,148,0,0,148
592,592,0,0,148,0,0,148
593,593,0,0,148,0,0,148
594,594,0,1,148,0,0,148
595,595,0,1,148,0,0,148
596,596,0,0,148,0,0,148
597,597,0,0,148,0,0,148
598,598,0,0,148,0,0,148
599,599,0,1,148,0,0,148
600,600,0,1,148,0,0,148
601,601,0,0,148,0,0,148
602,602,0,0,148,0,0,148
603,603,0,0,148,0,0,148
604,604,0,1,148,0,0,148
605,605,0,1,148,0,0,148
606,606,0,0,148,0,0,148
607,607,0,0,148,0,0,148
608,608,0,0,148,0,0,148
609,609,0,1,148,0,0,148
610,610,0,1,148,0,0,148
611,611,0,0,148,0,0,148
612,612,0,0,148,0,0,148
613,613,0,0,148,0,0,148
614,614,0,1,148,0,0,148
615,615,0,1,148,0,0,148
616,616,0,0,148,0,0,148
617,617,0,0,148,0,0,148
618,618,0,0,148,0,0,148
619,619,0,1,148,0,0,148
620,620,0,1,148,0,0,148
621,621,0,0,148,0,0,148
622,622,0,0,148,0,0,148
623,623,0,0,148,0,0,148
624,624,0,1,148,0,0,148
625,625,0,1,148,0,0,148
626,626,0,0,148,0,0,148
627,627,0,0,148,0,0,148
628,628,0,0,148,0,0,148
629,629,0,1,148,0,0,148
630,630,0,1,148,0,0,148
631,631,0,0,148,0,0,148
632,632,0,0,148,0,0,148
633,633,0,0,148,0,0,148
634,634,0,1,148,0,0,148
635,635,0,1,148,0,0,148
636,636,0,0,148,0,0,148
637,637,0,0,148,0,0,148
638,638,0,0,148,0,0,148
639,639,0,1,148,0,0,148
640,640,0,1,148,0,0,148
641,641,0,0,148,0,0,148
642,642,0,0,148,0,0,147
643,643,0,0,148,0,0,147
644,644,0,1,148,0,0,147
645,645,0,1,148,0,0,147
646,646,0,0,148,0,12,147
647,647,0,0,148,0,-1,148
648,648,0,0,148,0,-1,148
649,649,0,1,148,0,-1,148
650,650,0,1,148,0,-1,148
651,651,0,0,148,0,-13,148
652,652,0,0,148,0,0,148
653,653,0,0,148,0,0,148
654,654,0,1,148,0,0,148
655,655,0,1,148,0,0,148
656,656,0,0,148,0,0,148
657,657,0,0,148,0,0,148
658,658,0,0,148,0,0,148
659,659,0,1,148,0,0,148
660,660,0,1,148,0,0,148
661,661,0,0,148,0,0,148
662,662,0,0,148,0,0,148
663,663,0,0,148,0,0,148
664,664,0,1,148,0,0,148
665,665,0,1,148,0,0,148
666,666,0,0,148,0,0,148
667,667,0,0,148,0,0,148
668,668,0,0,148,0,0,148
669,669,0,1,148,0,0,148
670,670,0,1,148,0,0,148
671,671,0,0,148,0,0,148
672,672,0,0,148,0,0,148
673,673,0,0,148,0,0,148
674,674,0,1,148,0,0,148
675,675,0,1,148,0,0,148
676,676,0,0,148,0,0,148
677,677,0,0,148,0,0,148
678,678,0,0,148,0,0,148
679,679,0,1,148,0,0,148
680,680,0,1,148,0,0,148
681,681,0,0,148,0,0,148
682,682,0,0,148,0,0,148
